263A	1
A7	21
29	41
3D	61
51	81
65	101
79	121
263B	2
25AC	22
2A	42
3E	62
52	82
66	102
7A	122
2665	3
21A8	23
2B	43
3F	63
53	83
67	103
7B	123
2666	4
2191	24
2C	44
40	64
54	84
68	104
7C	124
2663	5
2193	25
2D	45
41	65
55	85
69	105
7D	125
2660	6
2192	26
2E	46
42	66
56	86
6A	106
7E	126
2022	7
2190	27
2F	47
43	67
57	87
6B	107
2302	127
25D8	8
221F	28
30	48
44	68
58	88
6C	108
410	128
25CB	9
2194	29
31	49
45	69
59	89
6D	109
411	129
25D9	10
25B2	30
32	50
46	70
5A	90
6E	110
412	130
2642	11
25BC	31
33	51
47	71
5B	91
6F	111
413	131
2640	12
20	32
34	52
48	72
5C	92
70	112
414	132
266A	13
21	33
35	53
49	73
5D	93
71	113
2591	176
266B	14
22	34
36	54
4A	74
5E	94
72	114
2592	177
263C	15
23	35
37	55
4B	75
5F	95
73	115
2593	178
25BA	16
24	36
38	56
4C	76
60	96
74	116
2502	179
25C4	17
25	37
39	57
4D	77
61	97
75	117
2524	180
2195	18
26	38
3A	58
4E	78
62	98
76	118
2561	181
203C	19
27	39
3B	59
4F	79
63	99
77	119
2562	182
B6	20
28	40
3C	60
50	80
64	100
78	120
2556	183
2555	184
2560	204
440	224
407	244
2563	185
2550	205
441	225
457	245
2551	186
256C	206
442	226
40E	246
2557	187
2567	207
443	227
45E	247
255D	188
2568	208
444	228
B0	248
255C	189
2564	209
445	229
2219	249
255B	190
2565	210
446	230
B7	250
2510	191
2559	211
447	231
221A	251
2514	192
2558	212
448	232
2116	252
2534	193
2552	213
449	233
A4	253
252C	194
2553	214
44A	234
25A0	254
251C	195
256B	215
44B	235
A0	255
2500	196
256A	216
44C	236
253C	197
2518	217
44D	237
255E	198
250C	218
44E	238
255F	199
2588	219
44F	239
255A	200
2584	220
401	240
2554	201
258C	221
451	241
2569	202
2590	222
404	242
2566	203
2580	223
454	243
161	0154
AB	0171
BC	0188
CD	0205
DE	0222
EF	0239
20AC	0128
AC	0172
BD	0189
CE	0206
DF	0223
F0	0240
153	0156
43D	0173
BE	0190
CF	0207
E0	0224
F1	0241
201A	0130
45C	0157
AE	0174
BF	0191
D0	0208
E1	0225
F2	0242
192	0131
17E	0158
AF	0175
C0	0192
D1	0209
E2	0226
F3	0243
201E	0132
178	0159
B0	0176
C1	0193
D2	0210
E3	0227
F4	0244
2026	0133
A0	0160
B1	0177
C2	0194
D3	0211
E4	0228
F5	0245
452	0144
A1	0161
B2	0178
C3	0195
D4	0212
E5	0229
F6	0246
2018	0145
A2	0162
B3	0179
C4	0196
D5	0213
E6	0230
F7	0247
2019	0146
A3	0163
B4	0180
C5	0197
D6	0214
E7	0231
F8	0248
201C	0147
A4	0164
B5	0181
C6	0198
D7	0215
E8	0232
F9	0249
201D	0148
A5	0165
B6	0182
C7	0199
D8	0216
E9	0233
FA	0250
2022	0149
A6	0166
B7	0183
C8	0200
D9	0217
EA	0234
FB	0251
2013	0150
A7	0167
B8	0184
C9	0201
DA	0218
EB	0235
FC	0252
2014	0151
A8	0168
B9	0185
CA	0202
DB	0219
EC	0236
FD	0253
2DC	0152
A9	0169
BA	0186
CB	0203
DC	0220
ED	0237
FE	0254
2122	0153
AA	0170
BB	0187
CC	0204
DD	0221
EE	0238
FF	0255
7B	0123
40F	0143
408	0163
B7	0183
41B	0203
42F	0223
443	0243
7C	0124
452	0144
A4	0164
451	0184
41C	0204
430	0224
444	0244
7D	0125
2018	0145
490	0165
2116	0185
41D	0205
431	0225
445	0245
7E	0126
2019	0146
A6	0166
454	0186
41E	0206
432	0226
446	0246
3F	0127
22	0147
A7	0167
22	0187
41F	0207
433	0227
447	0247
402	0128
22	0148
401	0168
458	0188
420	0208
434	0228
448	0248
403	0129
2022	0149
A9	0169
405	0189
421	0209
435	0229
449	0249
201A	0130
2013	0150
404	0170
455	0190
422	0210
436	0230
44A	0250
453	0131
2014	0151
22	0171
457	0191
423	0211
437	0231
44B	0251
22	0132
98	0152
AC	0172
410	0192
424	0212
438	0232
44C	0252
2026	0133
2122	0153
AD	0173
411	0193
425	0213
439	0233
44D	0253
2020	0134
459	0154
AE	0174
412	0194
426	0214
43A	0234
44E	0254
2021	0135
203A	0155
407	0175
413	0195
427	0215
43B	0235
44F	0255
20AC	0136
45A	0156
B0	0176
414	0196
428	0216
43C	0236
2030	0137
45C	0157
B1	0177
415	0197
429	0217
43D	0237
409	0138
45B	0158
406	0178
416	0198
42A	0218
43E	0238
2039	0139
45F	0159
456	0179
417	0199
42B	0219
43F	0239
40A	0140
491	0180
418	0200
42C	0220
440	0240
40C	0141
40E	0161
B5	0181
419	0201
42D	0221
441	0241
40B	0142
45E	0162
B6	0182
41A	0202
42E	0222
442	0242
